Keyword_id,Faculty_id,Faculty_score
174,0,44.8985
337,0,32.522
559,0,27.3669
1150,0,32.751
1635,0,24.2853
1858,0,29.0366
3676,0,101.876
3799,0,58.5785
4352,0,49.4999
7200,0,20.4316
8028,0,25.2255
9814,0,22.6997
16183,0,46.1369
25954,0,23.6043
41987,0,32.8014
48704,0,29.9577
49601,0,86.1408
278,1,2.93473
753,1,1.81884
4312,1,3.18445
5296,1,3.79435
5602,1,2.24515
10362,1,1.55956
12354,1,9.58108
14199,1,2.51624
19201,1,2.04897
19328,1,3.18813
20321,1,4.8955
24058,1,5.59797
26828,1,15.2139
38872,1,41.5017
47322,1,13.2177
47324,1,13.5299
53332,1,5.11379
908,2,171.108
914,2,241.117
1245,2,257.776
1419,2,270.529
1662,2,256.337
1668,2,273.977
2316,2,1036.91
2995,2,308.042
3405,2,490.047
7235,2,242.486
10231,2,426.893
14313,2,376.192
14797,2,188.103
22297,2,174.836
47704,2,209.044
49709,2,198.573
73168,2,199.978
9,3,0
2171,3,0.21093
2871,3,0.150429
5873,3,0.0949385
6252,3,0.123257
6633,3,0.058345
7391,3,0
9182,3,0
10108,3,0.050931
11055,3,0.922239
11381,3,0
12051,3,0
13754,3,0.104029
16265,3,0
19864,3,0.284901
45086,3,0
57049,3,0
70098,3,0
890,4,22.3245
1352,4,9.36075
2091,4,8.42394
2247,4,12.6733
2932,4,20.8789
3386,4,25.2671
3396,4,13.0831
6186,4,19.5051
12669,4,16.8795
26607,4,9.26911
33254,4,27.1451
33995,4,34.226
39281,4,14.7656
42252,4,8.7261
42479,4,15.4812
53464,4,15.8397
62853,4,24.6196
3,5,6.03122
54,5,56.6644
90,5,7.40101
223,5,19.4751
483,5,3.07584
501,5,3.25749
2258,5,4.64473
17624,5,5.60484
21286,5,2.958
21372,5,4.15363
22205,5,3.48211
24161,5,3.1392
24444,5,5.34183
43794,5,2.9436
51190,5,4.64959
69644,5,6.69189
74936,5,5.06875
152,6,45.6192
791,6,53.5578
1219,6,36.9369
1993,6,70.093
2346,6,60.3567
3271,6,36.7425
8001,6,97.6817
10162,6,38.255
10226,6,23.0786
10435,6,27.3493
14648,6,65.4185
17200,6,35.3746
39358,6,35.4345
43285,6,100.948
48871,6,62.7418
69253,6,54.6318
74246,6,26.6878
236,7,22.9593
2117,7,19.0934
4109,7,30.0146
5566,7,63.9866
5998,7,21.1222
6144,7,34.4826
6332,7,23.065
6828,7,82.9645
8205,7,120.689
9212,7,21.1924
9325,7,35.5705
15057,7,16.9088
15305,7,32.7346
28151,7,62.7421
36117,7,57.7906
63192,7,17.4812
76740,7,30.0519
28,9,0.125843
2678,9,0.0806773
4485,9,0.126675
5861,9,0.108844
6350,9,0.0533818
23527,9,0.0440398
26468,9,0.218798
30210,9,0.18623
44327,9,0.055512
75,10,60.8669
249,10,83.3767
657,10,267.994
717,10,437.44
845,10,103.314
1812,10,518.918
6359,10,137.146
9664,10,268.555
10413,10,126.63
12770,10,55.4698
15638,10,1457.09
22595,10,210.691
29137,10,45.2762
33665,10,84.6347
35033,10,63.1709
63273,10,89.999
76195,10,162.92
5,11,425.835
67,11,72.9433
179,11,64.8589
228,11,117.687
395,11,358.413
517,11,81.5242
1372,11,95.0633
1403,11,60.6541
1425,11,356.506
1993,11,103.144
6665,11,79.4432
11923,11,489.07
14852,11,73.2532
15904,11,229.878
17568,11,165.621
21749,11,467.022
29539,11,68.0814
72,12,44.2718
275,12,34.5496
1258,12,28.3679
2117,12,23.008
2223,12,44.781
2901,12,24.173
3887,12,22.9954
4377,12,37.6434
5830,12,20.5067
10295,12,58.6889
15540,12,68.9925
35103,12,24.5517
53110,12,83.0537
53633,12,24.6291
55022,12,38.0456
63004,12,36.5621
69868,12,22.9572
29,13,16.5222
395,13,36.8284
452,13,32.6006
475,13,27.3127
946,13,26.1729
4081,13,25.4904
5832,13,24.7583
6160,13,28.2355
7253,13,18.3019
7699,13,18.2031
11923,13,154.453
14715,13,15.8304
16247,13,16.1344
18616,13,15.5982
20076,13,25.6167
24948,13,16.4217
78512,13,14.4004
207,14,6.03265
273,14,17.1833
489,14,5.44317
495,14,4.46881
2027,14,5.96204
3744,14,19.7265
5272,14,13.2529
5878,14,15.0983
10040,14,9.9085
10944,14,5.75363
11915,14,5.50242
12142,14,15.5429
12581,14,12.1105
22415,14,9.92183
26828,14,7.33183
40780,14,7.20338
54690,14,8.33224
1331,15,32.3082
1678,15,236.902
2072,15,49.9958
3441,15,52.3134
3490,15,49.2302
3978,15,26.7789
10170,15,46.7984
13290,15,121.61
16314,15,134.342
17603,15,26.2219
18500,15,40.3387
24979,15,32.0714
30341,15,93.5857
30505,15,27.9835
34269,15,25.3543
41707,15,43.3516
58752,15,35.3337
29,16,255.98
623,16,234.213
693,16,181.871
1183,16,663.053
1398,16,1083.62
1735,16,301.742
3699,16,103.592
4249,16,112.078
10040,16,128.101
15544,16,173.923
17046,16,151.061
26828,16,427.111
31707,16,155.69
35636,16,235.696
47832,16,89.8957
65518,16,86.2921
72826,16,85.9771
461,17,4.98278
520,17,14.495
1056,17,14.1815
3654,17,24.0414
4090,17,4.79734
6276,17,3.99041
7234,17,4.73093
7415,17,5.82834
7429,17,7.20216
7901,17,7.37302
9007,17,8.14899
21360,17,6.01831
21978,17,3.4818
36096,17,4.19481
44299,17,4.50788
64529,17,4.73233
78512,17,8.32644
345,18,18.3518
406,18,8.07511
495,18,6.21363
2397,18,3.2904
3763,18,7.60382
4041,18,5.43044
4648,18,5.17341
5717,18,5.27563
9465,18,3.62031
11391,18,4.65146
14587,18,8.22999
17624,18,10.7653
17910,18,11.964
19971,18,3.28878
27892,18,14.4736
42124,18,5.01755
46462,18,24.246
219,19,47.9181
1726,19,216.56
2008,19,111.42
4814,19,145.293
6902,19,40.4335
7887,19,41.186
11381,19,90.9412
13992,19,157.291
15007,19,51.2182
20784,19,79.2298
26673,19,49.4886
28478,19,42.2947
33171,19,85.7682
41269,19,46.1465
55239,19,61.4744
62248,19,42.0233
78512,19,39.2563
1784,20,12.4241
2593,20,15.6193
2759,20,59.7912
3021,20,27.1185
6144,20,43.79
7950,20,31.1521
13569,20,195.514
15837,20,33.0415
21360,20,16.1391
25456,20,42.6449
26840,20,12.3324
28214,20,13.3021
30165,20,12.41
33814,20,24.7234
39277,20,28.6541
48031,20,24.7945
56483,20,19.0528
28,21,22.8366
223,21,49.1505
270,21,31.7377
1150,21,25.815
1505,21,33.0461
1635,21,24.2853
2027,21,340.418
2430,21,35.0652
3720,21,56.1331
3969,21,27.6917
6813,21,121.587
7200,21,20.4316
10780,21,21.046
15580,21,110.966
31474,21,54.5562
38108,21,21.3313
41987,21,32.9372
722,22,0.50902
1855,22,0.76798
1977,22,5.07903
4079,22,0.42691
7429,22,1.36309
8001,22,1.58307
9753,22,0.50578
10166,22,0.907704
11643,22,3.16902
11709,22,1.89069
12770,22,1.02998
15007,22,1.20434
32819,22,0.951293
38088,22,0.871367
39823,22,0.579953
51161,22,0.845632
80395,22,1.56611
75,23,60.8669
249,23,84.4959
657,23,341.599
845,23,88.3372
1812,23,968.873
4889,23,126.719
5970,23,80.8316
6359,23,137.146
8775,23,943.104
9664,23,381.583
10413,23,122.155
15394,23,127.597
15638,23,497.502
22595,23,183.461
35671,23,311.344
43042,23,302.888
76195,23,240.164
30,24,19.118
693,24,26.7269
908,24,17.0412
1183,24,29.1411
1446,24,22.5422
4656,24,13.8334
5567,24,18.1579
5873,24,15.1446
8657,24,25.7094
17046,24,26.6116
26822,24,13.0712
35636,24,18.366
36816,24,100.763
39577,24,49.8886
47322,24,9.94644
47832,24,36.9702
65518,24,86.2921
815,25,0
1175,25,0
2171,25,0.21093
2442,25,0
2871,25,0.150429
4396,25,0
5873,25,0.0949385
6252,25,0.123257
6633,25,0.058345
10108,25,0.050931
11055,25,0.922239
13754,25,0.104029
13878,25,0
13913,25,0
17200,25,0
19607,25,0
19864,25,0.284901
28398,25,0
32,26,1006.74
58,26,153.048
416,26,79.1714
1299,26,85.1969
1403,26,117.142
1756,26,90.1622
2182,26,143.584
2185,26,149.137
2572,26,85.4287
6997,26,79.08
11445,26,79.7101
15687,26,173.269
17768,26,111.119
20092,26,150.699
21378,26,95.9402
25020,26,152.322
47073,26,82.9821
42,27,3341.28
123,27,347.295
1903,27,710.939
2085,27,1856.21
2368,27,177.99
2962,27,520.194
3681,27,739.701
4606,27,367.644
4732,27,310.173
6766,27,272.933
10698,27,271.716
14211,27,317.831
15727,27,230.362
18860,27,2766.89
23870,27,310.337
37399,27,243.633
52215,27,219.072
749,28,0.504219
2586,28,0.0151806
3354,28,0.0382473
8408,28,0.0149056
10876,28,0.134026
31229,28,0.0972872
43341,28,0.0149245
43504,28,0.0667907
74958,28,0.114418
69,29,34.3226
101,29,35.5373
605,29,17.6703
781,29,15.8936
2127,29,29.4693
2531,29,17.1121
4090,29,40.7486
5385,29,18.7732
5873,29,23.4283
12088,29,16.2591
12334,29,15.1367
15007,29,15.5102
15190,29,43.4135
24250,29,33.8249
31905,29,21.4312
38872,29,15.6048
72411,29,32.1169
76,30,50.6155
1056,30,47.5514
1337,30,38.2065
1352,30,40.8044
1726,30,66.1287
3271,30,480.142
4090,30,199.349
7902,30,119.727
8097,30,41.8775
11735,30,55.9437
13713,30,82.1066
16495,30,71.2111
19983,30,88.1589
20410,30,46.2878
24303,30,40.469
27751,30,41.3105
74536,30,41.4276
4,31,91.3423
186,31,187.802
452,31,629.074
1668,31,97.4985
1735,31,143.784
3149,31,93.7516
3386,31,332.493
3801,31,389.772
4351,31,173.802
11528,31,100.183
14648,31,192.136
15706,31,154.832
16017,31,157.225
19593,31,123.601
25020,31,130.742
25512,31,106.056
78512,31,714.483
42,32,137.786
193,32,49.8904
387,32,82.1731
3681,32,90.3932
4606,32,101.945
4732,32,196.543
6706,32,52.8513
7738,32,200.441
8437,32,109.583
17893,32,85.2204
20268,32,83.286
22466,32,159.184
33895,32,57.9983
37399,32,224.692
60565,32,98.9695
66941,32,88.1039
73755,32,75.1084
106,33,301.022
692,33,312.118
2565,33,726.751
3001,33,93.3893
3262,33,113.503
3345,33,143.632
4595,33,176.953
5854,33,147.011
7213,33,105.646
11461,33,860.552
20134,33,146.005
