Keyword_id,Keyword_name
174,ontologies
337,gis
559,image analysis
1150,change detection
1635,video summarization
1858,data collection
3676,geographic information systems
3799,spatial information
4352,semantic integration
7200,similarity metrics
8028,road networks
9814,object extraction
16183,aerial images
25954,urbanization
41987,road
48704,integrator
49601,research challenges
278,relevance feedback
753,average precision
4312,text retrieval
5296,documentation
5602,query reformulation
10362,initial query
12354,information needs
14199,queries
19201,practices
19328,consumers
20321,experts
24058,paradigm shift
26828,developers
38872,bug reports
47322,bugs
47324,software documentation
53332,bug
908,programming language
914,matrix factorization
1245,computer graphics
1419,computational fluid dynamics
1662,matlab
1668,data structures
2316,sparse matrix
2995,memory usage
3405,cholesky factorization
7235,numerical stability
10231,numerical linear algebra
14313,mathematica
14797,circuit simulation
22297,bibliography
47704,online search
49709,orderings
73168,symmetric positive definite matrices
9,security
2171,data science
2871,python
5873,open-source
6252,ecology
6633,collaborative
7391,firewall
9182,wrapper
10108,biology
11055,computer programming
11381,server
12051,toolkit
13754,complex data
16265,forwarding
19864,scientific research
45086,resource access
57049,network resources
70098,access protocols
890,covert channel
1352,address space
2091,vulnerability
2247,execution environment
2932,attacks
3386,virtual memory
3396,randomization
6186,speculative execution
12669,instruction
26607,adversary
33254,processor
33995,attacker
39281,system software
42252,hardware performance counters
42479,predictors
53464,secret communication
62853,victim
3,deep learning
54,social media
90,user experience
223,twitter
483,software engineer
501,latent dirichlet allocation
2258,social computing
17624,customer
21286,mobility data
21372,chat
22205,tweet
24161,linkedin
24444,city
43794,cues
51190,messages
69644,negative binomial regression
74936,hypothesis tests
152,gpu
791,gpgpu
1219,parallelism
1993,latency
2346,memory bandwidth
3271,cache
8001,graphics processing units
10162,programming models
10226,network congestion
10435,performance improvement
14648,cache hierarchy
17200,high throughput
39358,multi-core systems
43285,thread-level parallelism
48871,scheduling policies
69253,inefficiency
74246,gpu architecture
236,supply chain
2117,combinatorial optimization problem
4109,queueing
5566,performance measures
5998,polynomial-time algorithm
6144,sparse matrices
6332,dynamic systems
6828,stochastic petri nets
8205,markov models
9212,stochastic models
9325,process algebras
15057,non-linear optimization
15305,generator matrix
28151,continuous-time markov chain
36117,stochastic automata
63192,state spaces
76740,iterative analysis
28,big data
2678,analytics
4485,dynamic graph
5861,graph databases
6350,data abstraction
23527,adjacency
26468,graph analytics
30210,real-time analytics
44327,current graph
75,local search
249,heuristics
657,global convergence
717,nonlinear programming
845,constrained optimization
1812,unconstrained optimization
6359,feasible region
9664,pattern search
10413,linear constraints
12770,research community
15638,mathematical optimization
22595,convergence theory
29137,original problem
33665,problem formulation
35033,subsequence
63273,engineering problems
76195,direct search methods
5,cloud computing
67,approximation algorithm
179,competitive ratio
228,online algorithm
395,sensor networks
517,elliptic curve cryptography
1372,online social networks
1403,smartphones
1425,fog computing
6665,global clock
11923,rfid tags
14852,mobility support
15904,public-key cryptosystem
17568,global synchronization
21749,wireless ad-hoc networks
29539,computing paradigm
72,social networks
275,community detection
1258,heuristic algorithm
2223,influence maximization
2901,flash memory
3887,social learning
4377,social graph
5830,strategic game
10295,software defined networks
15540,social psychology
35103,continuous-time markov chains
53110,online discussion forums
53633,complexity bounds
55022,connectivity constraints
63004,greedy approximation
69868,complex problem
29,information retrieval
452,parallel processing
475,outlier detection
946,communication cost
4081,inventory management
5832,radio frequency identification
6160,data storage
7253,tag
7699,tags
14715,mathematical analysis
16247,optimal algorithms
18616,global information
20076,abnormal event detection
24948,difficult problem
78512,processors
207,user interface
273,android
489,smartphone
495,workflow
2027,social networking
3744,cloud services
5272,operating systems
5878,ios
10040,apps
10944,information disclosure
11915,user task
12142,google
12581,android malware
22415,application architecture
40780,desktop
54690,security enhancement
1331,manufacturing
1678,photometric stereo
2072,facial animation
3441,numerical optimization
3490,machine tool
3978,motion capture data
10170,editing
13290,reflectance
16314,lighting
17603,feedback loop
18500,realtime
24979,diffusion models
30341,photographs
30505,decoding algorithm
34269,facial surface
41707,raw data
58752,surface shape
623,open source software
693,java
1183,source code
1398,software maintenance
1735,latent semantic indexing
3699,case studies
4249,mobile apps
15544,code smells
17046,code analysis
31707,object-oriented systems
35636,android apps
47832,code fragments
65518,code clone detection
72826,identifiers
461,mobile devices
520,deep neural network
1056,parallelization
3654,data parallelism
4090,compiler
6276,convolution kernel
7234,computational efficiency
7415,intel xeon phi
7429,speedup
7901,memory latency
9007,supercomputer
21360,optimizations
21978,parallel graph
36096,multi-core cpu
44299,x-ray computed tomography
64529,arithmetic operations
345,e-commerce
406,internet
2397,error detection
3763,application server
4041,security management
4648,transaction
5717,user request
9465,communication system
11391,html
14587,web browser
17910,e-mail
19971,audio file
27892,messaging system
42124,telephony
46462,business-to-business
219,load balancing
1726,workload
2008,performance prediction
4814,queueing networks
6902,customer experience
7887,expectation-maximization
13992,parallel applications
15007,cpu
20784,enterprise applications
26673,client
28478,scientific applications
33171,scheduling policy
41269,dynamic resource
55239,web servers
62248,jobs
1784,error analysis
2593,preconditioning
2759,iterative methods
3021,conjugate gradient
7950,monte carlo algorithm
13569,eigenvalue problems
15837,quantum chemistry
25456,parallel computers
26840,test problems
28214,software package
30165,limited memory
33814,orthonormal basis
39277,matrix-vector multiplication
48031,parallel methods
56483,optimal methods
270,crowdsourcing
1505,information flow
2430,situational awareness
3720,spatial data mining
3969,urban planning
6813,earthquake
10780,openstreetmap
15580,geospatial information
31474,geographical information
38108,hotspots
722,decision-making
1855,memory management
1977,high-performance computing
4079,public health
9753,empirical validation
10166,supply chains
11643,computational power
11709,gpu programming
32819,agent-based simulations
38088,disruptions
39823,drugs
51161,behavioral models
80395,design challenges
4889,parallel machines
5970,search algorithm
8775,optimization algorithms
15394,integer lattice
